Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Description,HasTraverse,HasSloper,Hascrimp,Hassloper,Hastraverse,Hasarete,Hasjug,Hasundercling,Hascave,Hasroof,Haspinch,Hasmantle
Tilt-o-Meter Traverse,Tilt-o-Meter Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/118115630/tilt-o-meter-traverse,2,-1,Boulder,V1,1,20,34.02044,-116.16555,"[<div class=""fr-view"">Traverse the Tilt-o-Meter boulder by climbing through the three Tilt-o-Meter problems. Â You can start from the right and move left, or you can start from the left and move right--they go at about the same grade. Â <br/><br/>If starting on the right: Start at the top of Tilt-o-Meter Right standing on the shelf and move down onto the rail (basically doing the climb in reverse), then hit the jugs on Tilt-o-Meter Center by making use of the large flake, then climb Tilt-o-Meter Left and top out. Â <br/><br/>If starting on the left: Start at the left-most hold higher up on Tilt-o-Meter Left, move down and right to the large flake, move up to the jugs on Tilt-o-Meter Center, then move to the rail of Tilt-o-Meter Right and finish on the shelf with an easy mantel.</div>, <div class=""fr-view"">Northeast corner of the boulder</div>]",1,0,0,0,1,0,1,0,0,0,0,0
The Palmist,Grit Rock > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/116100744/the-palmist,2.5,-1,Boulder,V3,1,10,34.01918,-116.16292,"[<div class=""fr-view"">Stem up the concave.Â </div>, <div class=""fr-view""><p>ConcaveÂ face to the left of Feel the Grit.</p></div>]",0,0,0,0,0,0,0,0,1,0,0,0
Young Plates,Meadows Boulder > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/112813643/young-plates,2.5,-1,Boulder,V1 PG13,1,20,33.99418,-116.14301,"[<div class=""fr-view"">Climb the right side of the arete using thin plates and edges, up to a large flat shelf at about 15 feet. Execute an exposed and attention grabbing mantel, hand-foot match, and reach for the lip. So, so good.</div>, <div class=""fr-view"">This problem is located on the tall Meadow 3 boulder, located about 20 meters behind the main Meadows boulder. On the left arete, while facing the  steepest (scooped) face of the boulder.</div>, <div class=""fr-view"">pads, possibly a spotter on the rock near the base.</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Laura Scudder,Laura Scudder Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/109150874/laura-scudder,2.1,-1,Boulder,V2,1,12,34.01896,-116.16562,"[<div class=""fr-view""><p>Overhanging crimps, slopers and general J Tree goodness.</p></div>, <div class=""fr-view"">North (slightly overhung) side of boulder.  Starts in-between two trees and moves right at half height over one of said trees.</div>, <div class=""fr-view"">Pad (bush will catch you from the top fall)</div>]",0,0,1,1,0,0,0,0,0,0,0,0
Unnamed Problem,Yabo Roof Area > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/112283982/unnamed-problem,2.1,-1,Boulder,V3,1,12,34.01468,-116.1658,"[<div class=""fr-view"">Tough hang off a crack with difficult ""feet."" Big throw and sloper fun to be had provided you can manage the awkward start. Hop on this starless, nameless wonder and enjoy more climbing than you'd expect! <br/> <br/> Exit by climbing up and passing through tree branches from the nearby oak.</div>, <div class=""fr-view"">Adjacent to Yabo Roof.</div>, <div class=""fr-view"">Pad</div>]",0,0,0,1,0,0,0,0,0,1,0,0
Dino Unknown,Psycho Boulders > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/113950014/dino-unknown,2.5,-1,Boulder,V2,1,20,34.0325,-116.20338,"[<div class=""fr-view""><p>Start far left with a solid left finger lock and traverse the horizontal crack until you can ascend the wide crack finish. Climb back down and jump off.</p></div>, <div class=""fr-view"">Flat landing.</div>]",1,0,0,0,1,0,0,0,0,0,0,0
Triangle Face Center,Triangle Boulder > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108542354/triangle-face-center,2.5,-1,Boulder,V6,1,16,34.01678,-116.16341,"[<div class=""fr-view"">Up the center on micro holds.  Finishes out left from where the overview shows.  Worked this one for years. Anyone else done it, probably can count on one hand.</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Psycho Slab,Psycho Boulders > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/113949475/psycho-slab,2.5,-1,Boulder,V4,1,15,34.0325,-116.20338,"[<div class=""fr-view"">Cool moves getting off the ground into the scoop then insecure highball slab to the lip. Traverse left a few feet and mantle over.</div>, <div class=""fr-view"">Good landing.</div>]",1,0,0,0,1,0,0,0,0,0,0,1
The Choc-o-Roach,Choc-o-Roach > Chocolate Boulders > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/109989767/the-choc-o-roach,2,-1,Boulder,V-easy,1,13,34.0623,-116.22647,"[<div class=""fr-view"">Climb directly up the middle of the face using some nice featured rock.</div>, <div class=""fr-view"">Middle of the east face</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Cumalong,E. J.  Deluxe Boulder > Lonesome Crowded West > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106934046/cumalong,2.7,-1,Boulder,V6,1,15,34.03239,-116.1717,"[<div class=""fr-view"">A very steep finger crack, in a 45 degree overhang. The crux is probably avoiding the back/head dab on the adjacent rocks. Mostly long reaches between good tips and finger locks. Not overly painful for a JT crack. If not for the jumbled blocks in the landing zone, this would be a super classic crack problem. Probably easier than V6? (consensus should tell us soon enough).</div>, <div class=""fr-view"">This is on the ""back"" side of the EJ Deluxe boulder. A little tunnel through from EJ puts you under this problem.</div>, <div class=""fr-view"">Bring two pads and a spotter. While never more than 7' off the deck, the landing is pretty bad if you're rolling solo (think Bachar Cracker) and you could easily pop unexpectedly.</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Sitting Bull,Little Big Horn Boulder > Little Bighorn Area > Asteroid Belt Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106115366/sitting-bull,2.4,-1,Boulder,V4-,1,10,34.01369,-116.15482,"[<div class=""fr-view"">Short Sharp Shock. <br/> <br/> Sit start underneath the boulder.   Feet up, hands up, reach out to good crimps.   Bust out from the underside and make hard pulls on crimps and sidepulls until the incut lip of the boulder is reached.</div>, <div class=""fr-view"">Small East facing patina wall</div>, <div class=""fr-view"">Pad</div>]",0,0,1,0,0,0,0,0,0,0,0,0
Woody Problem,The Wood Block > Love Nest Area > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106641436/woody-problem,2.5,-1,Boulder,V4,1,13,33.9966,-116.15785,"[<div class=""fr-view"">In your face stemming up a concavity with small edges and crystals for your hands. The technical and precise movements required for success will surely frustrate those accustomed to pulling on holds.</div>, <div class=""fr-view"">Just left of center on the east face.</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Descent Route,Wedge Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106143792/descent-route,1.6,-1,Boulder,V-easy,1,15,34.00972,-116.16725,"[<div class=""fr-view"">This goes up/down the easy slab on the left side of the East Face. It's about 5.7 with the start being the crux and can be avoided on descent by jumping off.</div>, <div class=""fr-view"">Pad.</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Left Cilley Crack,Cilley Rock > Hall of Horrors Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106158489/left-cilley-crack,2.5,-1,Boulder,V0,1,22,33.9977,-116.14836,"[<div class=""fr-view"">This climbs the nice, left curving crack. </div>, <div class=""fr-view"">Pad. </div>]",0,0,0,0,0,0,0,0,0,0,0,0
Habanero,The Habanero > The Separate Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > Queen Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106686368/habanero,2.5,-1,Boulder,V4,1,14,34.04538,-116.10349,"[<div class=""fr-view"">Work up thin, slick edges to an undercut horizontal crack then traverse right and up past a shelf or go big for the top. Tricky for the grade.</div>, <div class=""fr-view"">Right side of the south face.</div>, <div class=""fr-view"">Several pads to level out the sloping landing, spotter</div>]",1,0,0,0,1,0,0,0,0,0,0,0
To Have and Have Not,Papa Boulder > Hemingway Boulders > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106356166/to-have-and-have-not,2.5,-1,Boulder,V2,1,15,34.02395,-116.17707,"[<div class=""fr-view""><p>Works up the thin slab right of the descent crack with thin edges and smears. The aretes on either side are off route.</p></div>, <div class=""fr-view"">Center of the East Face's right block.</div>, <div class=""fr-view"">pad, spotter</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Renegade,Maverick Boulder > Stonehenge Boulders > Stonehenge and Fry Boulders > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106090951/renegade,2.1,-1,Boulder,V0,1,20,33.98595,-116.15924,"[<div class=""fr-view"">Climb the arete after pulling onto the wall on good holds. <br/> <br/> The holds are positive all the way up, but care needs to be exercised near the top.</div>, <div class=""fr-view"">East arete of South Face.</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Struggling Man,Jimmy Cliff Boulder > Jimmy Cliff Area > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106676790/struggling-man,2.5,-1,Boulder,V0+,1,15,34.01273,-116.1793,"[<div class=""fr-view""><p>Grab the overhead lip of the boulder and make an awkward mantle to get established at the base of a tall slab which is followed to the top. The top-out it high but fairly easy.</p><p>There are some holds below the lip which could be used as a direct start at about V5 or so.Â </p><p>* This problem isn't listed in the Joshua Tree Bouldering Guide but is an obvious line with some good moves that's worth a go when in the area.</p></div>, <div class=""fr-view"">Left side of the north face and left of <a href=""https://www.mountainproject.com/route/106676761/bongo-man"">Bongo Man</a>.</div>, <div class=""fr-view"">Pad, spotter</div>]",0,0,0,0,0,0,0,0,0,0,0,1
Binding Arete,The Iceberg > The Arctic Circle > Queen Mountain Base > Queen Mountain Bouldering > Queen Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106681794/binding-arete,2.7,-1,Boulder,V0,1,16,34.0403,-116.0942,"[<div class=""fr-view"">Climb up steeper knobs up the arete a few feet left of ""Intrusion Face.</div>, <div class=""fr-view"">Pad.</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Finger Food,The Habanero > The Separate Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > Queen Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106686375/finger-food,2.5,-1,Boulder,V3,1,14,34.04538,-116.10349,"[<div class=""fr-view"">Starting from the ground climb up and into an undercut thin crack, getting jams where possible, to a committing reach into the final slot where the crack opens up. Easier moves lead from there to the top. <br/> <br/> The landing zone on this looks fairly bad but with careful padding it's actually pretty safe.</div>, <div class=""fr-view"">Left side of the east face.</div>, <div class=""fr-view"">2-3 pads to cover and fill in the rocky landing and several spotters are nice.</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Puttyface,Puttyface Boulder > Human Sacrifice Cove > The Volcano Area > Virgin Islands Area > Geology Tour Road Bouldering > Queen Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106360096/puttyface,3,-1,Boulder,V4,1,15,33.94659,-116.07285,"[<div class=""fr-view""><p>Climb the bulging patina face with glassy slopers and sidepull edges that face the wrong way. Tricky and harder than it looks with a combination of balance and power needed to succeed.Â </p><p>Downclimb off the boulder via the wide crack to the left (V-easy).</p></div>, <div class=""fr-view"">Located on the backside of the boulder near the right arete.</div>, <div class=""fr-view""><p>Pad, spotter</p></div>]",0,0,0,1,0,1,0,0,0,0,0,0
Blackdot,Tour Boulder One > Tour Boulders > Lechlinski Cracks Area > Virgin Islands Area > Geology Tour Road Bouldering > Queen Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106346058/blackdot,2.5,-1,Boulder,V2,1,15,33.94189,-116.0785,"[<div class=""fr-view"">Right of Commando is this slab problem with a distinctive black intrusion up high. Easy slab moves lead you higher to the committing feeling crux as you work you feet to gain better holds and finish with an easy mantle.</div>, <div class=""fr-view"">Center of the North Face.</div>, <div class=""fr-view"">pad, spotter</div>]",0,0,0,0,0,0,0,0,0,0,0,1
Pothole Mantel  2,Pothole Rock > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/109792586/pothole-mantel-2,1.6,-1,Boulder,V-easy,1,12,34.01626,-116.16212,"[<div class=""fr-view"">Start up the ramp, then mantel onto the right side of the sloping ledge. Slightly less awkward.</div>, <div class=""fr-view"">Pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Pillbox,The Hatrack > Cap Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106159689/pillbox,1.5,-1,Boulder,V-easy,1,14,33.98928,-116.16353,"[<div class=""fr-view"">Stand start at a juggy horizontal and work up and right into a shallow crack to finish. <br/> <br/> <ul><li> Listed in the Joshua Tree Bouldering Guide as #607, Unnamed</li></ul></div>, <div class=""fr-view"">East side of the Hatrack Boulder and just right of <a href=""https://www.mountainproject.com/route/106314671/panama"">Panama</a>.</div>, <div class=""fr-view"">Pad</div>]",0,0,0,0,0,0,1,0,0,0,0,0
West Arete,Wave Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106117043/west-arete,2,-1,Boulder,V0-,1,20,34.0097,-116.16717,"[<div class=""fr-view"">Climb the arete on the right side of the South Face. Descend Descent Route.</div>, <div class=""fr-view"">You may want a pad.</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Corner Problem,Facet Boulder > Ryan Campground Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106157174/corner-problem,1.8,-1,Boulder,V0,1,12,33.98414,-116.1525,"[<div class=""fr-view"">On the right side of the East Face, climb a low angle corner and arete to ""The Mantel"".</div>, <div class=""fr-view"">Pad.</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Crystal Arete,Campfire Circle Boulder > HVCG South > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106292618/crystal-arete,2.1,-1,Boulder,V3+,1,12,34.017,-116.16083,"[<div class=""fr-view"">Sit start with a high pinch on the arete, get your feet sorted and then work up the arete to a gritty jug and finish with an easy topout. An easy downclimb exists on the west side of the boulder just right of this problem. <br/> <br/> Fun moves on rough and unique rock - it would get another star if it wasn't so sharp.</div>, <div class=""fr-view"">West arete of the boulder.</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,1,1,0,0,0,1,0
West Corner,The Gumdrop > Echo Rock Boulders > Echo Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106127658/west-corner,2.1,-1,Boulder,V0,1,15,34.0252,-116.1541,"[<div class=""fr-view"">This, as the name implies, climbs the West corner of the boulder. Reach up to a mantleshelf and continue to the top.</div>, <div class=""fr-view"">Pad.</div>]",0,0,0,0,0,0,0,0,0,0,0,1
Sacred Land,Sacred Land Boulder > [Redacted] > Sacred Land > Ryan Campground Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/111888471/sacred-land,1.9,-1,Boulder,V0,1,9,33.98331,-116.15085,"[<div class=""fr-view"">Low sidepull start straight up through sloper rails and jugs. Fun movement.</div>, <div class=""fr-view"">Pad</div>]",0,0,0,1,0,0,1,0,0,0,0,0
Unnamed .7,Arete Boulders > Echo Cove Bouldering > Echo Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106128721/unnamed-7,1.6,-1,Boulder,V-easy,1,10,34.02492,-116.15901,"[<div class=""fr-view"">This crack up a slabby corner is on the far left. It is the back-side of <a href=""https://www.mountainproject.com/route/106150424/arete-boulders-crack"">Arete Boulders Crack</a> and to the left of <a href=""https://www.mountainproject.com/route/106129519/left-arete"">Left Arete</a>.</div>, <div class=""fr-view"">Pad</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Squirt,Sidekick Boulder > Big Brother Boulders > Hall of Horrors Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106340687/squirt,1.8,-1,Boulder,V0,1,12,34.00036,-116.14668,"[<div class=""fr-view"">Start up the juggy crack of <a href=""https://www.mountainproject.com/route/106152719/sidekick"">Sidekick</a> (V-easy) and then break right up the face on edges and slopers. Can be done from a sit at about the same difficulty.</div>, <div class=""fr-view"">Right of Sidekick.</div>, <div class=""fr-view"">pad</div>]",0,0,0,1,0,0,1,0,0,0,0,0
Blurb,Split Boulder > King Dome Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106120176/blurb,1.8,-1,Boulder,V-easy,1,15,34.00254,-116.14998,"[<div class=""fr-view"">Located on the left side of the Split Boulder just left of the arete. <br/> <br/> Climb the black, lichen-streaked face via edges and sloping holds. The hardest move is getting off the ground on this one and is about 5.8 in difficulty.  <br/> <br/> The problem can be done from a sit start at about V0.</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Holenoid Right Side,Pinhead Boulder > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108877527/holenoid-right-side,1.9,-1,Boulder,V1-,1,15,34.01999,-116.16161,"[<div class=""fr-view"">Like <em><a href=""https://www.mountainproject.com/route/106292521/zippy-the-pinhead"">Zippy the Pinhead</a></em> this is an obvious line that is not in the guidebook. Start right of <em><a href=""https://www.mountainproject.com/route/106169368/holenoid-aka-the-grundle-from-down-under"">Holenoid</a></em>, and avoid the right arete.</div>, <div class=""fr-view"">Right of <em><a href=""https://www.mountainproject.com/route/106169368/holenoid-aka-the-grundle-from-down-under"">Holenoid</a></em></div>, <div class=""fr-view"">Pad and spotter</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Lazy Day Problem,The Dwarf > Hall of Horrors Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/111289670/lazy-day-problem,2,-1,Boulder,V-easy,1,10,33.99776,-116.14626,"[<div class=""fr-view"">Fun but short crack on the back of the Dwarf. Rated 5.9 in the Miramontes guidebook.</div>, <div class=""fr-view"">Pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Mister E,Voices Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106042773/mister-e,1.8,-1,Boulder,V1,1,12,34.02038,-116.16562,"[<div class=""fr-view"">Hang start off slopers near the left arete, reach for the three finger ""smiley"" hold (sidepull) with the right hand, bump to a sloper and then more slopers to the juggy arete. Finish up nice patina jugs just left of <a href=""https://www.mountainproject.com/route/105725473/mr-h"">Mr. H</a>. <br/> <br/> <ul><li> This problem isn't listed in the Joshua Tree Bouldering Guide but is an obvious line with some good moves that's worth a go when in the area.</li></ul></div>, <div class=""fr-view"">Located on the on the west face of boulder just left of <a href=""https://www.mountainproject.com/route/105725473/mr-h"">Mr. H</a>.</div>, <div class=""fr-view"">pad</div>]",0,0,0,1,0,1,1,0,0,0,0,0
Powell Pinch,Powell Pinch Boulder > Cap Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/110053044/powell-pinch,2.1,-1,Boulder,V2,1,12,33.98694,-116.16385,"[<div class=""fr-view"">Left leaning arete with a mantle finish. The crux may be moving off of the ""pinch"" and into mantle position. A great problem to improve your jtree mantle skills.</div>, <div class=""fr-view"">On the west face of the boulder west of the Molar</div>, <div class=""fr-view"">safe</div>]",0,0,0,0,0,1,0,0,0,0,1,1
Unnamed,No Name Boulder > Gunsmoke Area > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106345838/unnamed,1.5,-1,Boulder,V0+,1,10,34.02853,-116.14534,"[<div class=""fr-view"">Start with a high left side pull.   Pull on and then up to better holds. <br/> <br/> Top out with a rounded mantelshelf.</div>, <div class=""fr-view"">On the west face of the boulder 20 yards west from <a href=""https://www.mountainproject.com/route/105724441/the-chube"">The Chube</a>.</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Blatant Disregard for Human Safety,Miledi Rock > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106743954/blatant-disregard-for-human-safety,2.3,-1,Boulder,V1 R,1,25,34.02177,-116.16318,"[<div class=""fr-view"">Start at an arete and lieback up and into a dish and then work up the face with good hands and smears for the feet to a committing move about midway as you move right into a groove/crack that leads to the top. Descend the low-angled groove on the northwest face to descend. <br/> <br/> Rated V3 in the bouldering guide but it's much easier than that, although it has cleaned up considerably since the FA.</div>, <div class=""fr-view"">The narrow northeast face of the spire.</div>, <div class=""fr-view"">Pads, spotter</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Mini-Slab,Chocolate Chip > Chocolate Boulders > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105789408/mini-slab,1.6,-1,Boulder,V-easy,1,10,34.06262,-116.22637,"[<div class=""fr-view"">The clean slab up the center of this tiny boulder is about 5.9 in difficulty with the hardest moves at the beginning. If only it were taller.</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Augie Problem,Intersection Rock > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106463950/augie-problem,1.9,-1,Boulder,V0,1,20,34.01538,-116.16346,"[<div class=""fr-view"">Start up an arete and then follow scoops up the tall face to an easy topout. Head straight back and then right to descend.</div>, <div class=""fr-view"">About 10' right of the <a href=""https://www.mountainproject.com/route/106463932/intersection-traverse"">Intersection Traverse</a>'s right end up a scooped face.</div>, <div class=""fr-view"">pad, spotter</div>]",1,0,0,0,1,1,0,0,0,0,0,0
Placebo,Wedge Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106143787/placebo,2,-1,Boulder,V0,1,15,34.00972,-116.16725,"[<div class=""fr-view"">To the left of ""N.W. Arete"", mantel up and climb edges and friction up the high face.</div>, <div class=""fr-view"">Pad.</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Pork Rinds,Mel's Diner Boulder > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/116558587/pork-rinds,1.9,-1,Boulder,V-easy,1,,34.0283,-116.18199,"[<div class=""fr-view"">Start on the right side of the main face and head directly up, using the right arÃªte higher up.</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Border Patrol,Texas Boulder > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106136532/border-patrol,1.7,-1,Boulder,V1,1,11,34.0181,-116.1698,"[<div class=""fr-view"">Located on the face/arete right of <a href=""https://www.mountainproject.com/route/106073444/dont-mess-with-texas"">Don't Mess with Texas</a> (V1) at a horizontal rail. <br/> <br/> Make a few easy moves to the lip and then make a somewhat balancy mantle at the top (a spotter might be a good idea). A sit start is possible and goes at V6.</div>, <div class=""fr-view"">pad, spotter</div>]",0,0,0,0,0,1,0,0,0,0,0,1
Balance Problem,Piano Rock > Gunsmoke Area > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106157709/balance-problem,2.1,-1,Boulder,V2,1,22,34.02807,-116.14776,"[<div class=""fr-view"">Friction face, just right of a tree on the West Face and to the left of ""Piano Crack"".</div>, <div class=""fr-view"">Pad. </div>]",0,0,0,0,0,0,0,0,0,0,0,0
Squirm,Picture Perfect Boulder > Stonehenge Boulders > Stonehenge and Fry Boulders > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/114977001/squirm,2.3,-1,Boulder,V5,1,11,33.9861,-116.15981,"[<div class=""fr-view"">It's all in the name. Sidepull sloper leads to more slopers through a rounded topout.Â </div>]",0,0,0,1,0,0,0,0,0,0,0,0
The Undertaker,Undertaker Boulder > Hemingway Boulders > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106341380/the-undertaker,2.2,-1,Boulder,V0+,1,15,34.02362,-116.17698,"[<div class=""fr-view"">Hang start from a flat two-handed jug, run your feet up the steep wall and get in position to reach the arete out right. Once the arete is gained continue up and left to finish with a mantle over a bulge. Fun moves on this problem that despite it's height never feels that bad. <br/> <br/> The downclimb is just right of the problem down a ramp.</div>, <div class=""fr-view"">East face of the boulder and right off the trail.</div>, <div class=""fr-view"">pad, spotter</div>]",0,0,0,0,0,1,1,0,0,0,0,1
